file,line,function,button_text,callback_data,classification,reason
services/quantity_presets.py,157,build_keyboard,❌ Cancel,cancel_purchase,KEEP_CANCEL,callback_data_is_abort_action:cancel_purchase
services/payment_ui.py,488,invoice_keyboard,❌ Cancel,,KEEP_CANCEL,terminal_context:pay 
services/payment_ui.py,554,pending_deposit_keyboard,❌ Cancel Deposit,,KEEP_CANCEL,terminal_context:deposit;gateway;topup
services/payment_ui.py,701,keyboard,❌ Cancel,,KEEP_CANCEL,terminal_context:payment;pay ;invoice
services/payment_ui.py,1471,submit_txid_prompt,❌ Cancel,,KEEP_CANCEL,terminal_context:txid;transaction id;gateway
services/payment_selection_ui.py,177,build_crypto_networks_screen,❌ Cancel,cancel,KEEP_CANCEL,callback_data_is_abort_action:cancel
services/payment_selection_ui.py,252,build_mobile_money_screen,❌ Cancel,cancel,KEEP_CANCEL,callback_data_is_abort_action:cancel
handlers/payment_handlers.py,703,payment_method_heleket,❌ Cancel,cancel,KEEP_CANCEL,callback_data_is_abort_action:cancel
handlers/payment_handlers.py,2971,_binance_currency_keyboard,❌ Cancel,cancel,KEEP_CANCEL,callback_data_is_abort_action:cancel
handlers/payment_handlers.py,3609,_bybit_type_keyboard,❌ Cancel,cancel,KEEP_CANCEL,callback_data_is_abort_action:cancel
handlers/payment_handlers.py,3619,_bybit_network_keyboard,❌ Cancel,cancel,KEEP_CANCEL,callback_data_is_abort_action:cancel
handlers/payment_handlers.py,6130,qty_custom_prompt,❌ Cancel,cancel_purchase,KEEP_CANCEL,callback_data_is_abort_action:cancel_purchase
handlers/payment_handlers.py,6255,_load_wallet_balance,❌ Cancel,cancel_purchase,KEEP_CANCEL,callback_data_is_abort_action:cancel_purchase
handlers/payment_handlers.py,6262,_load_wallet_balance,❌ Cancel,cancel_purchase,KEEP_CANCEL,callback_data_is_abort_action:cancel_purchase
handlers/admin_broadcast_center.py,327,_prod_preview_kb,❌ Cancel,acc:bc:prod:cancel,KEEP_CANCEL,callback_data_is_abort_action:acc:bc:prod:cancel
handlers/admin_broadcast_center.py,502,_custom_preview_kb,❌ Cancel,acc:bc:custom:cancel,KEEP_CANCEL,callback_data_is_abort_action:acc:bc:custom:cancel
handlers/withdrawal_approval.py,191,wda_start,❌ Cancel,refer,KEEP_CANCEL,terminal_context:payment;withdraw
handlers/withdrawal_approval.py,239,wda_method_select,❌ Cancel,refer,KEEP_CANCEL,terminal_context:pay ;withdraw
handlers/withdrawal_approval.py,266,wda_address_input,❌ Cancel,refer,KEEP_CANCEL,terminal_context:withdraw
